REF_DATE,GEO,DGUID,Components of population growth,Gender,Age group,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE
2019/2020,"Halifax (CMA), Nova Scotia",2021S0503205,Emigrants,Total - gender,All ages,Persons,249,units,0,v1589980155,5.5.1.1,756
2020/2021,"Halifax (CMA), Nova Scotia",2021S0503205,Emigrants,Total - gender,All ages,Persons,249,units,0,v1589980155,5.5.1.1,572
2021/2022,"Halifax (CMA), Nova Scotia",2021S0503205,Emigrants,Total - gender,All ages,Persons,249,units,0,v1589980155,5.5.1.1,840
2022/2023,"Halifax (CMA), Nova Scotia",2021S0503205,Emigrants,Total - gender,All ages,Persons,249,units,0,v1589980155,5.5.1.1,906
2023/2024,"Halifax (CMA), Nova Scotia",2021S0503205,Emigrants,Total - gender,All ages,Persons,249,units,0,v1589980155,5.5.1.1,929
2017/2018,"Moncton (CMA), New Brunswick",2021S0503305,Births,Total - gender,All ages,Persons,249,units,0,v1590009621,6.1.1.1,1294
2018/2019,"Moncton (CMA), New Brunswick",2021S0503305,Births,Total - gender,All ages,Persons,249,units,0,v1590009621,6.1.1.1,1398
2019/2020,"Moncton (CMA), New Brunswick",2021S0503305,Births,Total - gender,All ages,Persons,249,units,0,v1590009621,6.1.1.1,1351
2020/2021,"Moncton (CMA), New Brunswick",2021S0503305,Births,Total - gender,All ages,Persons,249,units,0,v1590009621,6.1.1.1,1344
2021/2022,"Moncton (CMA), New Brunswick",2021S0503305,Births,Total - gender,All ages,Persons,249,units,0,v1590009621,6.1.1.1,1404
2022/2023,"Moncton (CMA), New Brunswick",2021S0503305,Births,Total - gender,All ages,Persons,249,units,0,v1590009621,6.1.1.1,1425
2023/2024,"Moncton (CMA), New Brunswick",2021S0503305,Births,Total - gender,All ages,Persons,249,units,0,v1590009621,6.1.1.1,1444
2017/2018,"Moncton (CMA), New Brunswick",2021S0503305,Deaths,Total - gender,All ages,Persons,249,units,0,v1590009963,6.2.1.1,1185
2018/2019,"Moncton (CMA), New Brunswick",2021S0503305,Deaths,Total - gender,All ages,Persons,249,units,0,v1590009963,6.2.1.1,1271
2019/2020,"Moncton (CMA), New Brunswick",2021S0503305,Deaths,Total - gender,All ages,Persons,249,units,0,v1590009963,6.2.1.1,1260
2020/2021,"Moncton (CMA), New Brunswick",2021S0503305,Deaths,Total - gender,All ages,Persons,249,units,0,v1590009963,6.2.1.1,1274
2021/2022,"Moncton (CMA), New Brunswick",2021S0503305,Deaths,Total - gender,All ages,Persons,249,units,0,v1590009963,6.2.1.1,1550
2022/2023,"Moncton (CMA), New Brunswick",2021S0503305,Deaths,Total - gender,All ages,Persons,249,units,0,v1590009963,6.2.1.1,1540
2023/2024,"Moncton (CMA), New Brunswick",2021S0503305,Deaths,Total - gender,All ages,Persons,249,units,0,v1590009963,6.2.1.1,1587
2017/2018,"Moncton (CMA), New Brunswick",2021S0503305,Immigrants,Total - gender,All ages,Persons,249,units,0,v1590010305,6.3.1.1,1381
2018/2019,"Moncton (CMA), New Brunswick",2021S0503305,Immigrants,Total - gender,All ages,Persons,249,units,0,v1590010305,6.3.1.1,1695
2019/2020,"Moncton (CMA), New Brunswick",2021S0503305,Immigrants,Total - gender,All ages,Persons,249,units,0,v1590010305,6.3.1.1,1748
