"","REF_DATE","Central.government.operations","VALUE","covid"
"1101",2023-06-01,"F. Net change in financing activities (external sources of funds)",-6116,"Post-COVID"
"1102",2023-07-01,"F. Net change in financing activities (external sources of funds)",18554,"Post-COVID"
"1103",2023-08-01,"F. Net change in financing activities (external sources of funds)",19711,"Post-COVID"
"1104",2023-09-01,"F. Net change in financing activities (external sources of funds)",-26139,"Post-COVID"
"1105",2023-10-01,"F. Net change in financing activities (external sources of funds)",14897,"Post-COVID"
"1106",2023-11-01,"F. Net change in financing activities (external sources of funds)",-3252,"Post-COVID"
"1107",2023-12-01,"F. Net change in financing activities (external sources of funds)",9630,"Post-COVID"
"1108",2024-01-01,"F. Net change in financing activities (external sources of funds)",15896,"Post-COVID"
"1109",2024-02-01,"F. Net change in financing activities (external sources of funds)",9101,"Post-COVID"
"1110",2024-03-01,"F. Net change in financing activities (external sources of funds)",21797,"Post-COVID"
"1111",2024-04-01,"F. Net change in financing activities (external sources of funds)",664,"Post-COVID"
"1112",2024-05-01,"F. Net change in financing activities (external sources of funds)",8139,"Post-COVID"
"1113",2024-06-01,"F. Net change in financing activities (external sources of funds)",1853,"Post-COVID"
"1114",2024-07-01,"F. Net change in financing activities (external sources of funds)",41301,"Post-COVID"
"1115",2024-08-01,"F. Net change in financing activities (external sources of funds)",-13995,"Post-COVID"
"1116",2024-09-01,"F. Net change in financing activities (external sources of funds)",-1446,"Post-COVID"
"1117",2024-10-01,"F. Net change in financing activities (external sources of funds)",4274,"Post-COVID"
"1118",2024-11-01,"F. Net change in financing activities (external sources of funds)",5546,"Post-COVID"
"1119",2017-10-01,"Market debt payable in Canadian currency",3976,"Pre-COVID"
"1120",2017-11-01,"Market debt payable in Canadian currency",-5785,"Pre-COVID"
"1121",2017-12-01,"Market debt payable in Canadian currency",630,"Pre-COVID"
"1122",2018-01-01,"Market debt payable in Canadian currency",1065,"Pre-COVID"
"1123",2018-02-01,"Market debt payable in Canadian currency",1750,"Pre-COVID"
"1124",2018-03-01,"Market debt payable in Canadian currency",-8164,"Pre-COVID"
"1125",2018-04-01,"Market debt payable in Canadian currency",10857,"Pre-COVID"
"1126",2018-05-01,"Market debt payable in Canadian currency",4208,"Pre-COVID"
"1127",2018-06-01,"Market debt payable in Canadian currency",-8688,"Pre-COVID"
"1128",2018-07-01,"Market debt payable in Canadian currency",8240,"Pre-COVID"
"1129",2018-08-01,"Market debt payable in Canadian currency",1100,"Pre-COVID"
"1130",2018-09-01,"Market debt payable in Canadian currency",-4645,"Pre-COVID"
"1131",2018-10-01,"Market debt payable in Canadian currency",11273,"Pre-COVID"
"1132",2018-11-01,"Market debt payable in Canadian currency",-5696,"Pre-COVID"
"1133",2018-12-01,"Market debt payable in Canadian currency",-584,"Pre-COVID"
"1134",2019-01-01,"Market debt payable in Canadian currency",3872,"Pre-COVID"
"1135",2019-02-01,"Market debt payable in Canadian currency",-4605,"Pre-COVID"
"1136",2019-03-01,"Market debt payable in Canadian currency",1511,"Pre-COVID"
"1137",2019-04-01,"Market debt payable in Canadian currency",10352,"Pre-COVID"
"1138",2019-05-01,"Market debt payable in Canadian currency",5595,"Pre-COVID"
"1139",2019-06-01,"Market debt payable in Canadian currency",-7157,"Pre-COVID"
"1140",2019-07-01,"Market debt payable in Canadian currency",11964,"Pre-COVID"
"1141",2019-08-01,"Market debt payable in Canadian currency",2913,"Pre-COVID"
"1142",2019-09-01,"Market debt payable in Canadian currency",-9818,"Pre-COVID"
"1143",2019-10-01,"Market debt payable in Canadian currency",13939,"Pre-COVID"
"1144",2019-11-01,"Market debt payable in Canadian currency",-8176,"Pre-COVID"
"1145",2019-12-01,"Market debt payable in Canadian currency",-3809,"Pre-COVID"
"1146",2020-01-01,"Market debt payable in Canadian currency",3721,"Pre-COVID"
"1147",2020-02-01,"Market debt payable in Canadian currency",8121,"Pre-COVID"
"1148",2020-03-01,"Market debt payable in Canadian currency",16554,"COVID"
"1149",2020-04-01,"Market debt payable in Canadian currency",133877,"COVID"
"1150",2020-05-01,"Market debt payable in Canadian currency",103464,"COVID"
"1151",2020-06-01,"Market debt payable in Canadian currency",57744,"COVID"
"1152",2020-07-01,"Market debt payable in Canadian currency",23068,"COVID"
"1153",2020-08-01,"Market debt payable in Canadian currency",-13993,"COVID"
"1154",2020-09-01,"Market debt payable in Canadian currency",-14698,"COVID"
"1155",2020-10-01,"Market debt payable in Canadian currency",28102,"COVID"
"1156",2020-11-01,"Market debt payable in Canadian currency",1850,"COVID"
"1157",2020-12-01,"Market debt payable in Canadian currency",9667,"COVID"
"1158",2021-01-01,"Market debt payable in Canadian currency",5702,"COVID"
"1159",2021-02-01,"Market debt payable in Canadian currency",8860,"COVID"
"1160",2021-03-01,"Market debt payable in Canadian currency",1576,"COVID"
"1161",2021-04-01,"Market debt payable in Canadian currency",12798,"COVID"
"1162",2021-05-01,"Market debt payable in Canadian currency",20379,"COVID"
"1163",2021-06-01,"Market debt payable in Canadian currency",14733,"COVID"
"1164",2021-07-01,"Market debt payable in Canadian currency",34657,"COVID"
"1165",2021-08-01,"Market debt payable in Canadian currency",12876,"COVID"
"1166",2021-09-01,"Market debt payable in Canadian currency",-26283,"COVID"
"1167",2021-10-01,"Market debt payable in Canadian currency",22664,"COVID"
"1168",2021-11-01,"Market debt payable in Canadian currency",1415,"COVID"
"1169",2021-12-01,"Market debt payable in Canadian currency",3480,"COVID"
"1170",2022-01-01,"Market debt payable in Canadian currency",11332,"COVID"
"1171",2022-02-01,"Market debt payable in Canadian currency",7483,"COVID"
"1172",2022-03-01,"Market debt payable in Canadian currency",6494,"COVID"
"1173",2022-04-01,"Market debt payable in Canadian currency",13219,"COVID"
"1174",2022-05-01,"Market debt payable in Canadian currency",1874,"COVID"
"1175",2022-06-01,"Market debt payable in Canadian currency",-6724,"COVID"
"1176",2022-07-01,"Market debt payable in Canadian currency",19087,"COVID"
"1177",2022-08-01,"Market debt payable in Canadian currency",-8721,"Post-COVID"
"1178",2022-09-01,"Market debt payable in Canadian currency",-10219,"Post-COVID"
"1179",2022-10-01,"Market debt payable in Canadian currency",19511,"Post-COVID"
"1180",2022-11-01,"Market debt payable in Canadian currency",-20508,"Post-COVID"
"1181",2022-12-01,"Market debt payable in Canadian currency",7924,"Post-COVID"
"1182",2023-01-01,"Market debt payable in Canadian currency",13959,"Post-COVID"
"1183",2023-02-01,"Market debt payable in Canadian currency",-12989,"Post-COVID"
"1184",2023-03-01,"Market debt payable in Canadian currency",-3340,"Post-COVID"
"1185",2023-04-01,"Market debt payable in Canadian currency",30519,"Post-COVID"
"1186",2023-05-01,"Market debt payable in Canadian currency",738,"Post-COVID"
"1187",2023-06-01,"Market debt payable in Canadian currency",-6022,"Post-COVID"
"1188",2023-07-01,"Market debt payable in Canadian currency",18647,"Post-COVID"
"1189",2023-08-01,"Market debt payable in Canadian currency",19810,"Post-COVID"
"1190",2023-09-01,"Market debt payable in Canadian currency",-25291,"Post-COVID"
"1191",2023-10-01,"Market debt payable in Canadian currency",14002,"Post-COVID"
"1192",2023-11-01,"Market debt payable in Canadian currency",-3468,"Post-COVID"
"1193",2023-12-01,"Market debt payable in Canadian currency",9318,"Post-COVID"
"1194",2024-01-01,"Market debt payable in Canadian currency",17603,"Post-COVID"
"1195",2024-02-01,"Market debt payable in Canadian currency",9332,"Post-COVID"
"1196",2024-03-01,"Market debt payable in Canadian currency",21770,"Post-COVID"
"1197",2024-04-01,"Market debt payable in Canadian currency",-4270,"Post-COVID"
"1198",2024-05-01,"Market debt payable in Canadian currency",8077,"Post-COVID"
"1199",2024-06-01,"Market debt payable in Canadian currency",1587,"Post-COVID"
"1200",2024-07-01,"Market debt payable in Canadian currency",42145,"Post-COVID"
"1201",2024-08-01,"Market debt payable in Canadian currency",-14154,"Post-COVID"
"1202",2024-09-01,"Market debt payable in Canadian currency",-3744,"Post-COVID"
"1203",2024-10-01,"Market debt payable in Canadian currency",5787,"Post-COVID"
"1204",2024-11-01,"Market debt payable in Canadian currency",5486,"Post-COVID"
"1205",2017-10-01,"Marketable bonds payable in Canadian currency",10317,"Pre-COVID"
"1206",2017-11-01,"Marketable bonds payable in Canadian currency",1657,"Pre-COVID"
"1207",2017-12-01,"Marketable bonds payable in Canadian currency",2086,"Pre-COVID"
"1208",2018-01-01,"Marketable bonds payable in Canadian currency",8898,"Pre-COVID"
"1209",2018-02-01,"Marketable bonds payable in Canadian currency",-472,"Pre-COVID"
"1210",2018-03-01,"Marketable bonds payable in Canadian currency",-3898,"Pre-COVID"
"1211",2018-04-01,"Marketable bonds payable in Canadian currency",5725,"Pre-COVID"
"1212",2018-05-01,"Marketable bonds payable in Canadian currency",-3775,"Pre-COVID"
"1213",2018-06-01,"Marketable bonds payable in Canadian currency",-4059,"Pre-COVID"
"1214",2018-07-01,"Marketable bonds payable in Canadian currency",7872,"Pre-COVID"
"1215",2018-08-01,"Marketable bonds payable in Canadian currency",-6184,"Pre-COVID"
"1216",2018-09-01,"Marketable bonds payable in Canadian currency",-6065,"Pre-COVID"
"1217",2018-10-01,"Marketable bonds payable in Canadian currency",6808,"Pre-COVID"
"1218",2018-11-01,"Marketable bonds payable in Canadian currency",-4192,"Pre-COVID"
"1219",2018-12-01,"Marketable bonds payable in Canadian currency",1983,"Pre-COVID"
"1220",2019-01-01,"Marketable bonds payable in Canadian currency",5006,"Pre-COVID"
"1221",2019-02-01,"Marketable bonds payable in Canadian currency",-5583,"Pre-COVID"
"1222",2019-03-01,"Marketable bonds payable in Canadian currency",-2943,"Pre-COVID"
"1223",2019-04-01,"Marketable bonds payable in Canadian currency",7583,"Pre-COVID"
"1224",2019-05-01,"Marketable bonds payable in Canadian currency",1318,"Pre-COVID"
"1225",2019-06-01,"Marketable bonds payable in Canadian currency",-644,"Pre-COVID"
"1226",2019-07-01,"Marketable bonds payable in Canadian currency",7977,"Pre-COVID"
"1227",2019-08-01,"Marketable bonds payable in Canadian currency",5034,"Pre-COVID"
"1228",2019-09-01,"Marketable bonds payable in Canadian currency",-7204,"Pre-COVID"
"1229",2019-10-01,"Marketable bonds payable in Canadian currency",11150,"Pre-COVID"
"1230",2019-11-01,"Marketable bonds payable in Canadian currency",-586,"Pre-COVID"
"1231",2019-12-01,"Marketable bonds payable in Canadian currency",1361,"Pre-COVID"
"1232",2020-01-01,"Marketable bonds payable in Canadian currency",3740,"Pre-COVID"
"1233",2020-02-01,"Marketable bonds payable in Canadian currency",5838,"Pre-COVID"
"1234",2020-03-01,"Marketable bonds payable in Canadian currency",-8195,"COVID"
"1235",2020-04-01,"Marketable bonds payable in Canadian currency",27762,"COVID"
"1236",2020-05-01,"Marketable bonds payable in Canadian currency",19063,"COVID"
"1237",2020-06-01,"Marketable bonds payable in Canadian currency",18636,"COVID"
"1238",2020-07-01,"Marketable bonds payable in Canadian currency",30172,"COVID"
"1239",2020-08-01,"Marketable bonds payable in Canadian currency",37311,"COVID"
"1240",2020-09-01,"Marketable bonds payable in Canadian currency",4310,"COVID"
"1241",2020-10-01,"Marketable bonds payable in Canadian currency",54906,"COVID"
"1242",2020-11-01,"Marketable bonds payable in Canadian currency",13374,"COVID"
"1243",2020-12-01,"Marketable bonds payable in Canadian currency",26702,"COVID"
"1244",2021-01-01,"Marketable bonds payable in Canadian currency",17105,"COVID"
"1245",2021-02-01,"Marketable bonds payable in Canadian currency",15763,"COVID"
"1246",2021-03-01,"Marketable bonds payable in Canadian currency",13380,"COVID"
"1247",2021-04-01,"Marketable bonds payable in Canadian currency",25204,"COVID"
"1248",2021-05-01,"Marketable bonds payable in Canadian currency",16384,"COVID"
"1249",2021-06-01,"Marketable bonds payable in Canadian currency",7342,"COVID"
"1250",2021-07-01,"Marketable bonds payable in Canadian currency",25670,"COVID"
"1251",2021-08-01,"Marketable bonds payable in Canadian currency",16282,"COVID"
"1252",2021-09-01,"Marketable bonds payable in Canadian currency",3315,"COVID"
"1253",2021-10-01,"Marketable bonds payable in Canadian currency",20681,"COVID"
"1254",2021-11-01,"Marketable bonds payable in Canadian currency",9196,"COVID"
"1255",2021-12-01,"Marketable bonds payable in Canadian currency",1250,"COVID"
"1256",2022-01-01,"Marketable bonds payable in Canadian currency",18580,"COVID"
"1257",2022-02-01,"Marketable bonds payable in Canadian currency",6353,"COVID"
"1258",2022-03-01,"Marketable bonds payable in Canadian currency",3865,"COVID"
"1259",2022-04-01,"Marketable bonds payable in Canadian currency",14563,"COVID"
"1260",2022-05-01,"Marketable bonds payable in Canadian currency",4216,"COVID"
"1261",2022-06-01,"Marketable bonds payable in Canadian currency",-2563,"COVID"
"1262",2022-07-01,"Marketable bonds payable in Canadian currency",20866,"COVID"
"1263",2022-08-01,"Marketable bonds payable in Canadian currency",-10537,"Post-COVID"
"1264",2022-09-01,"Marketable bonds payable in Canadian currency",-14346,"Post-COVID"
"1265",2022-10-01,"Marketable bonds payable in Canadian currency",17699,"Post-COVID"
"1266",2022-11-01,"Marketable bonds payable in Canadian currency",-21551,"Post-COVID"
"1267",2022-12-01,"Marketable bonds payable in Canadian currency",6415,"Post-COVID"
"1268",2023-01-01,"Marketable bonds payable in Canadian currency",13228,"Post-COVID"
"1269",2023-02-01,"Marketable bonds payable in Canadian currency",-17214,"Post-COVID"
"1270",2023-03-01,"Marketable bonds payable in Canadian currency",-9722,"Post-COVID"
"1271",2023-04-01,"Marketable bonds payable in Canadian currency",20264,"Post-COVID"
"1272",2023-05-01,"Marketable bonds payable in Canadian currency",-17333,"Post-COVID"
"1273",2023-06-01,"Marketable bonds payable in Canadian currency",-3346,"Post-COVID"
"1274",2023-07-01,"Marketable bonds payable in Canadian currency",13310,"Post-COVID"
"1275",2023-08-01,"Marketable bonds payable in Canadian currency",-1101,"Post-COVID"
"1276",2023-09-01,"Marketable bonds payable in Canadian currency",-27670,"Post-COVID"
"1277",2023-10-01,"Marketable bonds payable in Canadian currency",13276,"Post-COVID"
"1278",2023-11-01,"Marketable bonds payable in Canadian currency",200,"Post-COVID"
"1279",2023-12-01,"Marketable bonds payable in Canadian currency",14150,"Post-COVID"
"1280",2024-01-01,"Marketable bonds payable in Canadian currency",17469,"Post-COVID"
"1281",2024-02-01,"Marketable bonds payable in Canadian currency",1492,"Post-COVID"
"1282",2024-03-01,"Marketable bonds payable in Canadian currency",12012,"Post-COVID"
"1283",2024-04-01,"Marketable bonds payable in Canadian currency",-13342,"Post-COVID"
"1284",2024-05-01,"Marketable bonds payable in Canadian currency",3488,"Post-COVID"
"1285",2024-06-01,"Marketable bonds payable in Canadian currency",1208,"Post-COVID"
"1286",2024-07-01,"Marketable bonds payable in Canadian currency",16448,"Post-COVID"
"1287",2024-08-01,"Marketable bonds payable in Canadian currency",8020,"Post-COVID"
"1288",2024-09-01,"Marketable bonds payable in Canadian currency",1127,"Post-COVID"
"1289",2024-10-01,"Marketable bonds payable in Canadian currency",4323,"Post-COVID"
"1290",2024-11-01,"Marketable bonds payable in Canadian currency",7274,"Post-COVID"
"1291",2017-10-01,"Treasury bills",-6200,"Pre-COVID"
"1292",2017-11-01,"Treasury bills",-6500,"Pre-COVID"
"1293",2017-12-01,"Treasury bills",-1200,"Pre-COVID"
"1294",2018-01-01,"Treasury bills",-7700,"Pre-COVID"
"1295",2018-02-01,"Treasury bills",2300,"Pre-COVID"
"1296",2018-03-01,"Treasury bills",-4200,"Pre-COVID"
"1297",2018-04-01,"Treasury bills",5200,"Pre-COVID"
"1298",2018-05-01,"Treasury bills",8000,"Pre-COVID"
"1299",2018-06-01,"Treasury bills",-4600,"Pre-COVID"
"1300",2018-07-01,"Treasury bills",400,"Pre-COVID"
"1301",2018-08-01,"Treasury bills",7300,"Pre-COVID"
"1302",2018-09-01,"Treasury bills",1500,"Pre-COVID"
"1303",2018-10-01,"Treasury bills",4500,"Pre-COVID"
"1304",2018-11-01,"Treasury bills",-300,"Pre-COVID"
"1305",2018-12-01,"Treasury bills",-2800,"Pre-COVID"
"1306",2019-01-01,"Treasury bills",-1100,"Pre-COVID"
"1307",2019-02-01,"Treasury bills",1000,"Pre-COVID"
"1308",2019-03-01,"Treasury bills",4500,"Pre-COVID"
"1309",2019-04-01,"Treasury bills",2800,"Pre-COVID"
"1310",2019-05-01,"Treasury bills",4300,"Pre-COVID"
"1311",2019-06-01,"Treasury bills",-6500,"Pre-COVID"
"1312",2019-07-01,"Treasury bills",4000,"Pre-COVID"
"1313",2019-08-01,"Treasury bills",-2100,"Pre-COVID"
"1314",2019-09-01,"Treasury bills",-2600,"Pre-COVID"
"1315",2019-10-01,"Treasury bills",2800,"Pre-COVID"
"1316",2019-11-01,"Treasury bills",-7100,"Pre-COVID"
"1317",2019-12-01,"Treasury bills",-5100,"Pre-COVID"
"1318",2020-01-01,"Treasury bills",NA,"Pre-COVID"
"1319",2020-02-01,"Treasury bills",2300,"Pre-COVID"
"1320",2020-03-01,"Treasury bills",24767,"COVID"
"1321",2020-04-01,"Treasury bills",106133,"COVID"
"1322",2020-05-01,"Treasury bills",84400,"COVID"
"1323",2020-06-01,"Treasury bills",39100,"COVID"
"1324",2020-07-01,"Treasury bills",-7100,"COVID"
"1325",2020-08-01,"Treasury bills",-51300,"COVID"
"1326",2020-09-01,"Treasury bills",-19000,"COVID"
"1327",2020-10-01,"Treasury bills",-26800,"COVID"
"1328",2020-11-01,"Treasury bills",-11400,"COVID"
"1329",2020-12-01,"Treasury bills",-17000,"COVID"
"1330",2021-01-01,"Treasury bills",-11400,"COVID"
"1331",2021-02-01,"Treasury bills",-6900,"COVID"
"1332",2021-03-01,"Treasury bills",-11800,"COVID"
"1333",2021-04-01,"Treasury bills",-12404,"COVID"
"1334",2021-05-01,"Treasury bills",3998,"COVID"
"1335",2021-06-01,"Treasury bills",7393,"COVID"
"1336",2021-07-01,"Treasury bills",8989,"COVID"
"1337",2021-08-01,"Treasury bills",-3402,"COVID"
"1338",2021-09-01,"Treasury bills",-29596,"COVID"
"1339",2021-10-01,"Treasury bills",1974,"COVID"
"1340",2021-11-01,"Treasury bills",-7628,"COVID"
"1341",2021-12-01,"Treasury bills",2371,"COVID"
"1342",2022-01-01,"Treasury bills",-7248,"COVID"
"1343",2022-02-01,"Treasury bills",1130,"COVID"
"1344",2022-03-01,"Treasury bills",2629,"COVID"
"1345",2022-04-01,"Treasury bills",-1344,"COVID"
"1346",2022-05-01,"Treasury bills",-2342,"COVID"
"1347",2022-06-01,"Treasury bills",-4161,"COVID"
"1348",2022-07-01,"Treasury bills",-1779,"COVID"
"1349",2022-08-01,"Treasury bills",1816,"Post-COVID"
"1350",2022-09-01,"Treasury bills",4127,"Post-COVID"
"1351",2022-10-01,"Treasury bills",1812,"Post-COVID"
"1352",2022-11-01,"Treasury bills",1043,"Post-COVID"
"1353",2022-12-01,"Treasury bills",1509,"Post-COVID"
"1354",2023-01-01,"Treasury bills",731,"Post-COVID"
"1355",2023-02-01,"Treasury bills",4225,"Post-COVID"
"1356",2023-03-01,"Treasury bills",6382,"Post-COVID"
"1357",2023-04-01,"Treasury bills",10255,"Post-COVID"
"1358",2023-05-01,"Treasury bills",18071,"Post-COVID"
"1359",2023-06-01,"Treasury bills",-2676,"Post-COVID"
"1360",2023-07-01,"Treasury bills",5337,"Post-COVID"
"1361",2023-08-01,"Treasury bills",20911,"Post-COVID"
"1362",2023-09-01,"Treasury bills",2379,"Post-COVID"
"1363",2023-10-01,"Treasury bills",726,"Post-COVID"
"1364",2023-11-01,"Treasury bills",-3668,"Post-COVID"
"1365",2023-12-01,"Treasury bills",-4832,"Post-COVID"
"1366",2024-01-01,"Treasury bills",134,"Post-COVID"
"1367",2024-02-01,"Treasury bills",7840,"Post-COVID"
"1368",2024-03-01,"Treasury bills",9758,"Post-COVID"
"1369",2024-04-01,"Treasury bills",9072,"Post-COVID"
"1370",2024-05-01,"Treasury bills",4589,"Post-COVID"
"1371",2024-06-01,"Treasury bills",379,"Post-COVID"
"1372",2024-07-01,"Treasury bills",25697,"Post-COVID"
"1373",2024-08-01,"Treasury bills",-22174,"Post-COVID"
"1374",2024-09-01,"Treasury bills",-4871,"Post-COVID"
"1375",2024-10-01,"Treasury bills",1464,"Post-COVID"
"1376",2024-11-01,"Treasury bills",-1788,"Post-COVID"
"1377",2017-10-01,"Retail debt",-141,"Pre-COVID"
"1378",2017-11-01,"Retail debt",-942,"Pre-COVID"
"1379",2017-12-01,"Retail debt",-256,"Pre-COVID"
"1380",2018-01-01,"Retail debt",-133,"Pre-COVID"
"1381",2018-02-01,"Retail debt",-78,"Pre-COVID"
"1382",2018-03-01,"Retail debt",-66,"Pre-COVID"
"1383",2018-04-01,"Retail debt",-68,"Pre-COVID"
"1384",2018-05-01,"Retail debt",-17,"Pre-COVID"
"1385",2018-06-01,"Retail debt",-29,"Pre-COVID"
"1386",2018-07-01,"Retail debt",-32,"Pre-COVID"
"1387",2018-08-01,"Retail debt",-16,"Pre-COVID"
"1388",2018-09-01,"Retail debt",-80,"Pre-COVID"
"1389",2018-10-01,"Retail debt",-35,"Pre-COVID"
"1390",2018-11-01,"Retail debt",-1204,"Pre-COVID"
"1391",2018-12-01,"Retail debt",233,"Pre-COVID"
"1392",2019-01-01,"Retail debt",-34,"Pre-COVID"
"1393",2019-02-01,"Retail debt",-22,"Pre-COVID"
"1394",2019-03-01,"Retail debt",-46,"Pre-COVID"
"1395",2019-04-01,"Retail debt",-31,"Pre-COVID"
"1396",2019-05-01,"Retail debt",-23,"Pre-COVID"
"1397",2019-06-01,"Retail debt",-13,"Pre-COVID"
"1398",2019-07-01,"Retail debt",-13,"Pre-COVID"
"1399",2019-08-01,"Retail debt",-21,"Pre-COVID"
"1400",2019-09-01,"Retail debt",-14,"Pre-COVID"
"1401",2019-10-01,"Retail debt",-11,"Pre-COVID"
"1402",2019-11-01,"Retail debt",-490,"Pre-COVID"
"1403",2019-12-01,"Retail debt",-70,"Pre-COVID"
"1404",2020-01-01,"Retail debt",-19,"Pre-COVID"
"1405",2020-02-01,"Retail debt",-17,"Pre-COVID"
"1406",2020-03-01,"Retail debt",-18,"COVID"
"1407",2020-04-01,"Retail debt",-18,"COVID"
"1408",2020-05-01,"Retail debt",1,"COVID"
"1409",2020-06-01,"Retail debt",8,"COVID"
"1410",2020-07-01,"Retail debt",-4,"COVID"
"1411",2020-08-01,"Retail debt",-4,"COVID"
"1412",2020-09-01,"Retail debt",-8,"COVID"
"1413",2020-10-01,"Retail debt",-4,"COVID"
"1414",2020-11-01,"Retail debt",-124,"COVID"
"1415",2020-12-01,"Retail debt",-35,"COVID"
"1416",2021-01-01,"Retail debt",-3,"COVID"
"1417",2021-02-01,"Retail debt",-3,"COVID"
"1418",2021-03-01,"Retail debt",-4,"COVID"
"1419",2021-04-01,"Retail debt",-2,"COVID"
"1420",2021-05-01,"Retail debt",-3,"COVID"
"1421",2021-06-01,"Retail debt",-2,"COVID"
"1422",2021-07-01,"Retail debt",-2,"COVID"
"1423",2021-08-01,"Retail debt",-4,"COVID"
"1424",2021-09-01,"Retail debt",-2,"COVID"
"1425",2021-10-01,"Retail debt",9,"COVID"
"1426",2021-11-01,"Retail debt",-153,"COVID"
"1427",2021-12-01,"Retail debt",-141,"COVID"
"1428",2022-01-01,"Retail debt",NA,"COVID"
"1429",2022-02-01,"Retail debt",NA,"COVID"
"1430",2022-03-01,"Retail debt",NA,"COVID"
"1431",2022-04-01,"Retail debt",NA,"COVID"
"1432",2022-05-01,"Retail debt",NA,"COVID"
"1433",2022-06-01,"Retail debt",NA,"COVID"
"1434",2022-07-01,"Retail debt",NA,"COVID"
"1435",2022-08-01,"Retail debt",NA,"Post-COVID"
"1436",2022-09-01,"Retail debt",NA,"Post-COVID"
"1437",2022-10-01,"Retail debt",NA,"Post-COVID"
"1438",2022-11-01,"Retail debt",NA,"Post-COVID"
"1439",2022-12-01,"Retail debt",NA,"Post-COVID"
"1440",2023-01-01,"Retail debt",NA,"Post-COVID"
"1441",2023-02-01,"Retail debt",NA,"Post-COVID"
"1442",2023-03-01,"Retail debt",NA,"Post-COVID"
"1443",2023-04-01,"Retail debt",NA,"Post-COVID"
"1444",2023-05-01,"Retail debt",NA,"Post-COVID"
"1445",2023-06-01,"Retail debt",NA,"Post-COVID"
"1446",2023-07-01,"Retail debt",NA,"Post-COVID"
"1447",2023-08-01,"Retail debt",NA,"Post-COVID"
"1448",2023-09-01,"Retail debt",NA,"Post-COVID"
"1449",2023-10-01,"Retail debt",NA,"Post-COVID"
"1450",2023-11-01,"Retail debt",NA,"Post-COVID"
"1451",2023-12-01,"Retail debt",NA,"Post-COVID"
"1452",2024-01-01,"Retail debt",NA,"Post-COVID"
"1453",2024-02-01,"Retail debt",NA,"Post-COVID"
"1454",2024-03-01,"Retail debt",NA,"Post-COVID"
"1455",2024-04-01,"Retail debt",NA,"Post-COVID"
"1456",2024-05-01,"Retail debt",NA,"Post-COVID"
"1457",2024-06-01,"Retail debt",NA,"Post-COVID"
"1458",2024-07-01,"Retail debt",NA,"Post-COVID"
"1459",2024-08-01,"Retail debt",NA,"Post-COVID"
"1460",2024-09-01,"Retail debt",NA,"Post-COVID"
"1461",2024-10-01,"Retail debt",NA,"Post-COVID"
"1462",2024-11-01,"Retail debt",NA,"Post-COVID"
"1463",2017-10-01,"Other market debt payable in Canadian currency",NA,"Pre-COVID"
"1464",2017-11-01,"Other market debt payable in Canadian currency",NA,"Pre-COVID"
"1465",2017-12-01,"Other market debt payable in Canadian currency",NA,"Pre-COVID"
"1466",2018-01-01,"Other market debt payable in Canadian currency",NA,"Pre-COVID"
"1467",2018-02-01,"Other market debt payable in Canadian currency",NA,"Pre-COVID"
"1468",2018-03-01,"Other market debt payable in Canadian currency",NA,"Pre-COVID"
"1469",2018-04-01,"Other market debt payable in Canadian currency",NA,"Pre-COVID"
"1470",2018-05-01,"Other market debt payable in Canadian currency",NA,"Pre-COVID"
"1471",2018-06-01,"Other market debt payable in Canadian currency",NA,"Pre-COVID"
"1472",2018-07-01,"Other market debt payable in Canadian currency",NA,"Pre-COVID"
"1473",2018-08-01,"Other market debt payable in Canadian currency",NA,"Pre-COVID"
"1474",2018-09-01,"Other market debt payable in Canadian currency",NA,"Pre-COVID"
"1475",2018-10-01,"Other market debt payable in Canadian currency",NA,"Pre-COVID"
"1476",2018-11-01,"Other market debt payable in Canadian currency",NA,"Pre-COVID"
"1477",2018-12-01,"Other market debt payable in Canadian currency",NA,"Pre-COVID"
"1478",2019-01-01,"Other market debt payable in Canadian currency",NA,"Pre-COVID"
"1479",2019-02-01,"Other market debt payable in Canadian currency",NA,"Pre-COVID"
"1480",2019-03-01,"Other market debt payable in Canadian currency",NA,"Pre-COVID"
"1481",2019-04-01,"Other market debt payable in Canadian currency",NA,"Pre-COVID"
"1482",2019-05-01,"Other market debt payable in Canadian currency",NA,"Pre-COVID"
"1483",2019-06-01,"Other market debt payable in Canadian currency",NA,"Pre-COVID"
"1484",2019-07-01,"Other market debt payable in Canadian currency",NA,"Pre-COVID"
"1485",2019-08-01,"Other market debt payable in Canadian currency",NA,"Pre-COVID"
"1486",2019-09-01,"Other market debt payable in Canadian currency",NA,"Pre-COVID"
"1487",2019-10-01,"Other market debt payable in Canadian currency",NA,"Pre-COVID"
"1488",2019-11-01,"Other market debt payable in Canadian currency",NA,"Pre-COVID"
"1489",2019-12-01,"Other market debt payable in Canadian currency",NA,"Pre-COVID"
"1490",2020-01-01,"Other market debt payable in Canadian currency",NA,"Pre-COVID"
"1491",2020-02-01,"Other market debt payable in Canadian currency",NA,"Pre-COVID"
"1492",2020-03-01,"Other market debt payable in Canadian currency",NA,"COVID"
"1493",2020-04-01,"Other market debt payable in Canadian currency",NA,"COVID"
"1494",2020-05-01,"Other market debt payable in Canadian currency",NA,"COVID"
"1495",2020-06-01,"Other market debt payable in Canadian currency",NA,"COVID"
